Rien,Rien,drawEllipse,Rien,dessinEllipse
drawEllipse,Rien,drawEllipse,red,setRed
Rien,Rien,drawEllipse,blue,dessinBlueEllipse
drawEllipse,blue,drawEllipse,blue,dessinBlueEllipse
Rien,Rien,drawEllipse,red,dessinRedEllipse
drawEllipse,red,drawRect,blue,dessinBlueRect
Rien,Rien,drawRect,blue,dessinBlueRect
drawRect,blue,drawRect,red,setRed
Rien,Rien,drawEllipse,red,dessinRedEllipse
drawEllipse,red,drawRect,blue,dessinBlueRect
Rien,Rien,drawEllipse,blue,dessinBlueEllipse
drawEllipse,blue,drawEllipse,Rien,dessinEllipse
Rien,Rien,drawEllipse,blue,dessinBlueEllipse
drawEllipse,blue,drawEllipse,blue,dessinBlueEllipse
Rien,Rien,drawEllipse,Rien,dessinEllipse
drawEllipse,Rien,drawEllipse,Rien,dessinEllipse
Rien,Rien,drawRect,Rien,dessinRect
drawRect,Rien,drawRect,red,setRed
Rien,Rien,drawRect,Rien,dessinRect
drawRect,Rien,drawRect,Rien,dessinRect
Rien,Rien,drawEllipse,red,dessinRedEllipse
drawEllipse,red,drawRect,Rien,dessinRect
Rien,Rien,drawRect,red,dessinRedRect
drawRect,red,drawRect,Rien,dessinRect
Rien,Rien,drawEllipse,blue,dessinBlueEllipse
drawEllipse,blue,drawRect,Rien,dessinRect
Rien,Rien,Rien,red,setRed
Rien,red,drawEllipse,red,dessinRedEllipse
Rien,Rien,drawEllipse,red,dessinRedEllipse
drawEllipse,red,drawEllipse,Rien,dessinEllipse
Rien,Rien,drawEllipse,blue,dessinBlueEllipse
drawEllipse,blue,drawEllipse,Rien,dessinEllipse
Rien,Rien,Rien,blue,setBlue
Rien,blue,Rien,red,setRed
Rien,Rien,drawRect,blue,dessinBlueRect
drawRect,blue,drawRect,blue,dessinBlueRect
Rien,Rien,drawEllipse,red,dessinRedEllipse
drawEllipse,red,drawEllipse,blue,setBlue
Rien,Rien,drawEllipse,Rien,dessinEllipse
drawEllipse,Rien,drawEllipse,red,setRed
Rien,Rien,drawRect,red,dessinRedRect
drawRect,red,drawRect,Rien,dessinRect
Rien,Rien,drawEllipse,Rien,dessinEllipse
drawEllipse,Rien,drawEllipse,blue,dessinBlueEllipse
Rien,Rien,drawRect,blue,dessinBlueRect
drawRect,blue,drawEllipse,red,dessinRedEllipse
Rien,Rien,drawRect,Rien,dessinRect
drawRect,Rien,drawEllipse,Rien,dessinEllipse
Rien,Rien,drawEllipse,Rien,dessinEllipse
drawEllipse,Rien,drawEllipse,blue,dessinBlueEllipse
Rien,Rien,drawEllipse,Rien,dessinEllipse
drawEllipse,Rien,drawRect,red,dessinRedRect
Rien,Rien,Rien,red,setRed
Rien,red,drawEllipse,red,dessinRedEllipse
Rien,Rien,drawEllipse,red,dessinRedEllipse
drawEllipse,red,drawRect,Rien,dessinRect
Rien,Rien,drawRect,blue,dessinBlueRect
drawRect,blue,drawRect,blue,dessinBlueRect
Rien,Rien,Rien,blue,setBlue
Rien,blue,drawRect,red,dessinRedRect
Rien,Rien,Rien,blue,setBlue
Rien,blue,drawRect,blue,dessinBlueRect
Rien,Rien,drawRect,red,dessinRedRect
drawRect,red,drawEllipse,blue,dessinBlueEllipse
Rien,Rien,drawRect,red,dessinRedRect
drawRect,red,drawRect,red,dessinRedRect
Rien,Rien,drawRect,red,dessinRedRect
Rien,Rien,drawEllipse,red,dessinRedEllipse
drawEllipse,red,drawRect,red,dessinRedRect
Rien,Rien,drawRect,red,dessinRedRect
Rien,Rien,drawEllipse,Rien,dessinEllipse
drawEllipse,Rien,drawRect,Rien,dessinRect
Rien,Rien,Rien,red,setRed
Rien,red,drawRect,red,dessinRedRect
Rien,Rien,drawRect,blue,dessinBlueRect
drawRect,blue,drawEllipse,red,dessinRedEllipse
Rien,Rien,drawRect,Rien,dessinRect
drawRect,Rien,drawRect,blue,dessinBlueRect
Rien,Rien,drawRect,red,dessinRedRect
drawRect,red,drawRect,blue,dessinBlueRect
Rien,Rien,drawRect,blue,dessinBlueRect
drawRect,blue,drawRect,Rien,dessinRect
Rien,Rien,drawRect,red,dessinRedRect
drawRect,red,drawRect,blue,setBlue
Rien,Rien,drawRect,blue,dessinBlueRect
drawRect,blue,drawEllipse,Rien,dessinEllipse
Rien,Rien,drawRect,Rien,dessinRect
drawRect,Rien,drawRect,red,dessinRedRect
Rien,Rien,Rien,red,setRed
Rien,red,drawRect,blue,dessinBlueRect
Rien,Rien,drawRect,blue,dessinBlueRect
Rien,Rien,drawEllipse,red,dessinRedEllipse
drawEllipse,red,drawRect,red,dessinRedRect
Rien,Rien,drawRect,blue,dessinBlueRect
drawRect,blue,drawRect,red,setRed
Rien,Rien,drawRect,red,dessinRedRect
drawRect,red,drawRect,blue,setBlue
