10,10,0,20,10,0,Right
20,10,0,20,10,-10,E
20,10,-10,20,10,10,Big R
20,10,10,20,20,10,Down
20,20,10,30,20,10,Right
30,20,10,30,20,30,Big R
30,20,30,50,20,30,Big Right
50,20,30,30,20,30,Big Left
30,20,30,30,20,50,Big R
30,20,50,30,20,60,R
30,20,60,30,0,60,Big Up
30,0,60,30,-10,60,Up
30,-10,60,30,-10,70,R
30,-10,70,30,-30,70,Big Up
30,-30,70,50,-30,70,Big Right
50,-30,70,50,-10,70,Big Down
50,-10,70,50,-20,70,Up
50,-20,70,50,-20,80,R
50,-20,80,50,-20,90,R
50,-20,90,50,-20,110,Big R
50,-20,110,50,-20,120,R
50,-20,120,50,-20,140,Big R
50,-20,140,50,-10,140,Down
50,-10,140,50,-30,140,Big Up
50,-30,140,50,-50,140,Big Up
50,-50,140,40,-50,140,Left
40,-50,140,40,-50,150,R
40,-50,150,40,-50,170,Big R
40,-50,170,40,-50,160,E
40,-50,160,50,-50,160,Right
50,-50,160,50,-50,180,Big R
50,-50,180,70,-50,180,Big Right
70,-50,180,70,-50,160,Big E
70,-50,160,80,-50,160,Right
80,-50,160,70,-50,160,Left
70,-50,160,70,-50,180,Big R
70,-50,180,80,-50,180,Right
80,-50,180,60,-50,180,Big Left
60,-50,180,80,-50,180,Big Right
80,-50,180,80,-50,170,E
80,-50,170,80,-50,160,E
80,-50,160,80,-50,150,E
80,-50,150,80,-30,150,Big Down
80,-30,150,80,-30,140,E
80,-30,140,60,-30,140,Big Left
60,-30,140,60,-30,120,Big E
60,-30,120,60,-30,110,E
60,-30,110,60,-30,90,Big E
60,-30,90,70,-30,90,Right
70,-30,90,80,-30,90,Right
80,-30,90,80,-50,90,Big Up
80,-50,90,90,-50,90,Right
90,-50,90,90,-50,80,E
90,-50,80,80,-50,80,Left
80,-50,80,80,-40,80,Down
80,-40,80,80,-40,70,E
80,-40,70,80,-60,70,Big Up
80,-60,70,80,-60,60,E
80,-60,60,80,-60,70,R
80,-60,70,100,-60,70,Big Right
100,-60,70,100,-50,70,Down
100,-50,70,100,-50,50,Big E
100,-50,50,100,-70,50,Big Up
100,-70,50,100,-60,50,Down
100,-60,50,80,-60,50,Big Left
80,-60,50,80,-60,70,Big R
80,-60,70,80,-70,70,Up
80,-70,70,90,-70,70,Right
90,-70,70,90,-70,90,Big R
90,-70,90,90,-70,80,E
90,-70,80,110,-70,80,Big Right
110,-70,80,110,-70,90,R
110,-70,90,110,-80,90,Up
110,-80,90,110,-80,110,Big R
110,-80,110,110,-80,90,Big E
110,-80,90,110,-80,110,Big R
110,-80,110,90,-80,110,Big Left
90,-80,110,90,-80,120,R
90,-80,120,90,-60,120,Big Down
90,-60,120,90,-40,120,Big Down
90,-40,120,90,-50,120,Up
90,-50,120,90,-50,110,E
90,-50,110,90,-50,120,R
90,-50,120,90,-50,140,Big R
90,-50,140,80,-50,140,Left
80,-50,140,80,-40,140,Down
80,-40,140,80,-20,140,Big Down
80,-20,140,80,0,140,Big Down
80,0,140,80,20,140,Big Down
80,20,140,80,20,120,Big E
80,20,120,80,20,110,E
80,20,110,80,20,90,Big E
80,20,90,100,20,90,Big Right
100,20,90,110,20,90,Right
110,20,90,110,20,110,Big R
110,20,110,120,20,110,Right
120,20,110,100,20,110,Big Left
100,20,110,100,20,100,E
100,20,100,100,20,80,Big E
100,20,80,80,20,80,Big Left
80,20,80,90,20,80,Right
90,20,80,90,20,90,R
90,20,90,70,20,90,Big Left
70,20,90,70,0,90,Big Up
70,0,90,70,20,90,Big Down
70,20,90,70,20,100,R
70,20,100,90,20,100,Big Right
90,20,100,100,20,100,Right
100,20,100,80,20,100,Big Left
80,20,100,60,20,100,Big Left
60,20,100,60,20,90,E
60,20,90,60,40,90,Big Down
60,40,90,60,40,100,R
60,40,100,60,40,120,Big R
60,40,120,60,20,120,Big Up
60,20,120,60,40,120,Big Down
60,40,120,60,40,130,R
60,40,130,60,40,150,Big R
60,40,150,60,40,170,Big R
60,40,170,60,40,150,Big E
60,40,150,60,40,160,R
60,40,160,60,40,180,Big R
60,40,180,60,60,180,Big Down
60,60,180,60,60,160,Big E
60,60,160,60,60,170,R
60,60,170,80,60,170,Big Right
80,60,170,100,60,170,Big Right
100,60,170,100,60,150,Big E
100,60,150,110,60,150,Right
110,60,150,110,60,140,E
110,60,140,110,60,150,R
110,60,150,130,60,150,Big Right
130,60,150,130,60,160,R
130,60,160,130,60,180,Big R
130,60,180,150,60,180,Big Right
150,60,180,130,60,180,Big Left
130,60,180,130,60,200,Big R
130,60,200,150,60,200,Big Right
150,60,200,140,60,200,Left
